name,map_understanding,map_difficulty,arrow_understanding,arrow_difficulty,map_mental_demand,map_physical_demand,map_temporal_demand,map_performance,map_effort,map_frustration,arrow_mental_demand,arrow_physical_demand,arrow_temporal_demand,arrow_performance,arrow_effort,arrow_frustration
1,10,8,5,4,7,7,6,2,3,1,8,9,6,4,2,6,
2,10,10,8,8,3,3,3,9,3,2,3,2,5,1,2,2,
3,9,8,4,3,6,2,4,7,5,3,9,2,7,3,8,8,
4,7,6,3,3,4,1,2,9,2,1,7,2,6,4,6,6,
5,9,9,4,1,8,3,6,5,7,6,6,1,4,5,5,4,
6,5,4,7,6,5,2,3,8,4,2,10,3,8,2,9,9,
7,9,7,6,5,6,4,5,6,6,5,5,1,4,6,4,3,
8,10,9,7,6,3,1,2,9,2,1,8,2,6,4,7,6,
9,8,7,5,4,7,2,4,7,6,4,9,2,7,3,8,8,
10,9,8,6,6,5,2,6,6,5,5,7,1,5,4,6,5,
11,7,6,4,3,4,3,3,8,3,2,6,4,3,4,4,10,
12,6,5,8,7,8,4,7,4,8,7,8,3,5,6,3,3
